basis,strategy_a,strategy_b,a_count,b_count,intersection,union,jaccard,corr_phi
strategy_decision_log_active_strict_match,stock_tech_s01_55d_trend_volume_breakout_v1,stock_tech_s06_nr7_inside_bar_breakout_v1,11,10,7,14,0.5,0.6613
strategy_decision_log_active_strict_match,alpha223_0248,alpha223_0283,107,188,84,211,0.3981,0.4689
strategy_decision_log_active_strict_match,alpha223_0109,alpha223_0283,211,188,109,290,0.3759,0.3122
strategy_decision_log_active_strict_match,alpha223_0166,alpha223_0283,270,188,123,335,0.3672,0.2636
strategy_decision_log_active_strict_match,alpha223_0109,trend_quality_breakout_fused_v1,211,243,111,343,0.3236,0.166
strategy_decision_log_active_strict_match,stock_tech_s01_55d_trend_volume_breakout_v1,stock_tech_s04_ma_deduct_turn_breakout_v1,11,10,5,16,0.3125,0.4671
strategy_decision_log_active_strict_match,alpha223_0109,alpha223_0166,211,270,110,371,0.2965,0.0868
strategy_decision_log_active_strict_match,alpha223_0109,alpha_miner_pymoo_nsga3_novelty_0193,211,216,97,330,0.2939,0.1383
strategy_decision_log_active_strict_match,alpha_miner_pymoo_nsga3_novelty_0193,trend_quality_breakout_fused_v1,216,243,102,357,0.2857,0.0852
strategy_decision_log_active_strict_match,alpha223_0009,alpha223_0166,163,270,95,338,0.2811,0.1487
strategy_decision_log_active_strict_match,alpha223_0283,alpha_miner_pymoo_nsga3_novelty_0193,188,216,88,316,0.2785,0.1386
strategy_decision_log_active_strict_match,alpha223_0009,alpha223_0283,163,188,76,275,0.2764,0.191
strategy_decision_log_active_strict_match,alpha223_0166,alpha_miner_pymoo_nsga3_novelty_0193,270,216,103,383,0.2689,0.0199
strategy_decision_log_active_strict_match,alpha223_0109,alpha223_0248,211,107,67,251,0.2669,0.2603
strategy_decision_log_active_strict_match,alpha223_0166,trend_quality_breakout_fused_v1,270,243,108,405,0.2667,-0.0331
strategy_decision_log_active_strict_match,alpha223_0009,alpha223_0248,163,107,56,214,0.2617,0.2572
strategy_decision_log_active_strict_match,alpha223_0166,alpha223_0248,270,107,77,300,0.2567,0.2434
strategy_decision_log_active_strict_match,alpha223_0166,defensive_accumulation_seed_v1,270,165,88,347,0.2536,0.0876
strategy_decision_log_active_strict_match,defensive_accumulation_seed_v1,trend_quality_breakout_fused_v1,165,243,82,326,0.2515,0.1013
strategy_decision_log_active_strict_match,stock_tech_s04_ma_deduct_turn_breakout_v1,stock_tech_s06_nr7_inside_bar_breakout_v1,10,10,4,16,0.25,0.3895
strategy_decision_log_active_strict_match,alpha223_0248,trend_quality_breakout_fused_v1,107,243,64,286,0.2238,0.1738
strategy_decision_log_active_strict_match,alpha223_0248,alpha_miner_pymoo_nsga3_novelty_0193,107,216,58,265,0.2189,0.1679
strategy_decision_log_active_strict_match,alpha_miner_pymoo_nsga3_novelty_0193,defensive_accumulation_seed_v1,216,165,68,313,0.2173,0.0534
strategy_decision_log_active_strict_match,alpha223_0283,trend_quality_breakout_fused_v1,188,243,72,359,0.2006,-0.0484
strategy_decision_log_active_strict_match,alpha223_0009,defensive_accumulation_seed_v1,163,165,54,274,0.1971,0.0661
strategy_decision_log_active_strict_match,alpha223_0009,alpha223_0109,163,211,61,313,0.1949,0.0152
strategy_decision_log_active_strict_match,alpha223_0283,defensive_accumulation_seed_v1,188,165,56,297,0.1886,0.022
strategy_decision_log_active_strict_match,alpha223_0248,stock_tech_s02_52w_dual_momentum_v1,107,38,21,124,0.1694,0.2516
strategy_decision_log_active_strict_match,stock_tech_s01_55d_trend_volume_breakout_v1,stock_tech_s02_52w_dual_momentum_v1,11,38,7,42,0.1667,0.3208
strategy_decision_log_active_strict_match,alpha223_0009,alpha_miner_pymoo_nsga3_novelty_0193,163,216,49,330,0.1485,-0.091
strategy_decision_log_active_strict_match,alpha223_0109,defensive_accumulation_seed_v1,211,165,48,328,0.1463,-0.0937
strategy_decision_log_active_strict_match,stock_tech_s02_52w_dual_momentum_v1,trend_quality_breakout_fused_v1,38,243,33,248,0.1331,0.2417
strategy_decision_log_active_strict_match,alpha223_0009,trend_quality_breakout_fused_v1,163,243,47,359,0.1309,-0.1634
strategy_decision_log_active_strict_match,alpha223_0109,stock_tech_s02_52w_dual_momentum_v1,211,38,27,222,0.1216,0.1913
strategy_decision_log_active_strict_match,alpha223_0248,defensive_accumulation_seed_v1,107,165,29,243,0.1193,-0.0131
strategy_decision_log_active_strict_match,alpha_miner_pymoo_nsga3_novelty_0193,stock_tech_s02_52w_dual_momentum_v1,216,38,27,227,0.1189,0.1857
strategy_decision_log_active_strict_match,stock_tech_s02_52w_dual_momentum_v1,stock_tech_s04_ma_deduct_turn_breakout_v1,38,10,5,43,0.1163,0.2327
strategy_decision_log_active_strict_match,stock_tech_s02_52w_dual_momentum_v1,stock_tech_s06_nr7_inside_bar_breakout_v1,38,10,5,43,0.1163,0.2327
strategy_decision_log_active_strict_match,alpha223_0166,stock_tech_s02_52w_dual_momentum_v1,270,38,25,283,0.0883,0.1028
strategy_decision_log_active_strict_match,alpha223_0283,stock_tech_s02_52w_dual_momentum_v1,188,38,18,208,0.0865,0.0852
strategy_decision_log_active_strict_match,defensive_accumulation_seed_v1,stock_tech_s02_52w_dual_momentum_v1,165,38,16,187,0.0856,0.0807
strategy_decision_log_active_strict_match,alpha223_0009,stock_tech_s02_52w_dual_momentum_v1,163,38,13,188,0.0691,0.0365
strategy_decision_log_active_strict_match,alpha223_0248,stock_tech_s04_ma_deduct_turn_breakout_v1,107,10,6,111,0.0541,0.142
strategy_decision_log_active_strict_match,alpha223_0248,stock_tech_s06_nr7_inside_bar_breakout_v1,107,10,6,111,0.0541,0.142
strategy_decision_log_active_strict_match,defensive_accumulation_seed_v1,stock_tech_s01_55d_trend_volume_breakout_v1,165,11,9,167,0.0539,0.1647
strategy_decision_log_active_strict_match,alpha223_0248,stock_tech_s01_55d_trend_volume_breakout_v1,107,11,6,112,0.0536,0.1296
strategy_decision_log_active_strict_match,alpha223_0109,stock_tech_s04_ma_deduct_turn_breakout_v1,211,10,9,212,0.0425,0.1478
strategy_decision_log_active_strict_match,defensive_accumulation_seed_v1,stock_tech_s06_nr7_inside_bar_breakout_v1,165,10,7,168,0.0417,0.1222
strategy_decision_log_active_strict_match,stock_tech_s04_ma_deduct_turn_breakout_v1,trend_quality_breakout_fused_v1,10,243,10,243,0.0412,0.1562
strategy_decision_log_active_strict_match,stock_tech_s01_55d_trend_volume_breakout_v1,trend_quality_breakout_fused_v1,11,243,10,244,0.041,0.1384
strategy_decision_log_active_strict_match,alpha223_0109,stock_tech_s06_nr7_inside_bar_breakout_v1,211,10,8,213,0.0376,0.1203
strategy_decision_log_active_strict_match,alpha223_0109,stock_tech_s01_55d_trend_volume_breakout_v1,211,11,8,214,0.0374,0.1053
strategy_decision_log_active_strict_match,alpha223_0166,stock_tech_s04_ma_deduct_turn_breakout_v1,270,10,10,270,0.037,0.1421
strategy_decision_log_active_strict_match,alpha223_0166,stock_tech_s06_nr7_inside_bar_breakout_v1,270,10,10,270,0.037,0.1421
strategy_decision_log_active_strict_match,alpha223_0166,stock_tech_s01_55d_trend_volume_breakout_v1,270,11,10,271,0.0369,0.1239
strategy_decision_log_active_strict_match,stock_tech_s06_nr7_inside_bar_breakout_v1,trend_quality_breakout_fused_v1,10,243,9,244,0.0369,0.1294
strategy_decision_log_active_strict_match,alpha223_0283,stock_tech_s04_ma_deduct_turn_breakout_v1,188,10,7,191,0.0366,0.1066
strategy_decision_log_active_strict_match,alpha_miner_pymoo_nsga3_novelty_0193,stock_tech_s01_55d_trend_volume_breakout_v1,216,11,8,219,0.0365,0.1023
strategy_decision_log_active_strict_match,alpha223_0283,stock_tech_s01_55d_trend_volume_breakout_v1,188,11,7,192,0.0365,0.093
strategy_decision_log_active_strict_match,alpha223_0009,stock_tech_s01_55d_trend_volume_breakout_v1,163,11,6,168,0.0357,0.082
strategy_decision_log_active_strict_match,alpha223_0283,stock_tech_s06_nr7_inside_bar_breakout_v1,188,10,6,192,0.0313,0.0783
strategy_decision_log_active_strict_match,alpha223_0009,stock_tech_s06_nr7_inside_bar_breakout_v1,163,10,5,168,0.0298,0.0648
strategy_decision_log_active_strict_match,alpha_miner_pymoo_nsga3_novelty_0193,stock_tech_s06_nr7_inside_bar_breakout_v1,216,10,6,220,0.0273,0.0626
strategy_decision_log_active_strict_match,alpha223_0009,stock_tech_s04_ma_deduct_turn_breakout_v1,163,10,4,169,0.0237,0.0353
strategy_decision_log_active_strict_match,alpha_miner_pymoo_nsga3_novelty_0193,stock_tech_s04_ma_deduct_turn_breakout_v1,216,10,5,221,0.0226,0.0353
strategy_decision_log_active_strict_match,defensive_accumulation_seed_v1,stock_tech_s04_ma_deduct_turn_breakout_v1,165,10,3,172,0.0174,0.0048
