feature_id,feature_ref,ok,ref_type,registry_status,runtime_signal,selector_role,source,strategy_id,threshold_path
,,True,runtime_gate,not_applicable,runtime_gate.price,,ts_bootstrap,trend_following_seed_v1,minPrice
tech_sma_20_pos,,True,registry_feature,formal_candidate,closeAboveMa20Pct,evidence_watch,ts_bootstrap,trend_following_seed_v1,minCloseAboveMa20Pct
l1_closeAboveMa60Pct,,True,registry_feature,formal_candidate,closeAboveMa60Pct,evidence_watch,ts_bootstrap,trend_following_seed_v1,minCloseAboveMa60Pct
l1_volumeExpansion20,,True,registry_feature,formal_candidate,volumeExpansion20,core_prior,ts_bootstrap,trend_following_seed_v1,minVolumeExpansion20
l1_return20d,,True,registry_feature,formal_candidate,return20d,evidence_watch,ts_bootstrap,trend_following_seed_v1,minReturn20d
l1_macdHist,,True,registry_feature,formal_candidate,technicalIndicators.macdHist,core_prior,ts_bootstrap,trend_following_seed_v1,dsl.signal
tech_adx_14,,True,registry_feature,formal_candidate,technicalIndicators.adx14,core_prior,ts_bootstrap,trend_following_seed_v1,dsl.signal
l1_diTrend,,True,registry_feature,formal_candidate,technicalIndicators.diTrend,evidence_watch,ts_bootstrap,trend_following_seed_v1,dsl.signal
,,True,runtime_gate,not_applicable,runtime_gate.price,,ts_bootstrap,breakout_vol_expansion_seed_v1,minPrice
tech_sma_20_pos,,True,registry_feature,formal_candidate,closeAboveMa20Pct,evidence_watch,ts_bootstrap,breakout_vol_expansion_seed_v1,minCloseAboveMa20Pct
l1_closeAboveMa60Pct,,True,registry_feature,formal_candidate,closeAboveMa60Pct,evidence_watch,ts_bootstrap,breakout_vol_expansion_seed_v1,minCloseAboveMa60Pct
l1_volumeExpansion20,,True,registry_feature,formal_candidate,volumeExpansion20,core_prior,ts_bootstrap,breakout_vol_expansion_seed_v1,minVolumeExpansion20
l1_return20d,,True,registry_feature,formal_candidate,return20d,evidence_watch,ts_bootstrap,breakout_vol_expansion_seed_v1,minReturn20d
l1_squeezeRelease,,True,registry_feature,formal_candidate,technicalIndicators.squeezeRelease,evidence_watch,ts_bootstrap,breakout_vol_expansion_seed_v1,dsl.signal
l1_squeezeMomentum,,True,registry_feature,formal_candidate,technicalIndicators.squeezeMomentum,core_prior,ts_bootstrap,breakout_vol_expansion_seed_v1,dsl.signal
l1_bbBandwidthPct,,True,registry_feature,formal_candidate,technicalIndicators.bbBandwidthPct,evidence_watch,ts_bootstrap,breakout_vol_expansion_seed_v1,dsl.signal
,,True,runtime_gate,not_applicable,runtime_gate.price,,ts_bootstrap,defensive_accumulation_seed_v1,minPrice
tech_sma_20_pos,,True,registry_feature,formal_candidate,closeAboveMa20Pct,evidence_watch,ts_bootstrap,defensive_accumulation_seed_v1,minCloseAboveMa20Pct
l1_volumeExpansion20,,True,registry_feature,formal_candidate,volumeExpansion20,core_prior,ts_bootstrap,defensive_accumulation_seed_v1,minVolumeExpansion20
l1_foreignTrustNet5d,,True,registry_feature,formal_candidate,foreignTrustNet5d,core_prior,ts_bootstrap,defensive_accumulation_seed_v1,minForeignTrustNet5d
,,True,runtime_gate,not_applicable,runtime_gate.price,,ts_bootstrap,finlab_ai_skill_quality_trend_v1,minPrice
tech_sma_20_pos,,True,registry_feature,formal_candidate,closeAboveMa20Pct,evidence_watch,ts_bootstrap,finlab_ai_skill_quality_trend_v1,minCloseAboveMa20Pct
l1_volumeExpansion20,,True,registry_feature,formal_candidate,volumeExpansion20,core_prior,ts_bootstrap,finlab_ai_skill_quality_trend_v1,minVolumeExpansion20
l1_revenueGrowthYoY,,True,registry_feature,formal_candidate,revenueGrowthYoY,core_prior,ts_bootstrap,finlab_ai_skill_quality_trend_v1,minRevenueGrowthYoY
l1_roe,,True,registry_feature,formal_candidate,roe,evidence_watch,ts_bootstrap,finlab_ai_skill_quality_trend_v1,minRoe
l1_eps,,True,registry_feature,formal_candidate,eps,core_prior,ts_bootstrap,finlab_ai_skill_quality_trend_v1,minEps
val_ep,,True,registry_feature,formal_candidate,pe,evidence_watch,ts_bootstrap,finlab_ai_skill_quality_trend_v1,maxPe
,,True,runtime_gate,not_applicable,runtime_gate.price,,ts_bootstrap,finlab_ai_skill_reversion_value_v1,minPrice
l1_volumeExpansion20,,True,registry_feature,formal_candidate,volumeExpansion20,core_prior,ts_bootstrap,finlab_ai_skill_reversion_value_v1,minVolumeExpansion20
l1_return20d,,True,registry_feature,formal_candidate,return20d,evidence_watch,ts_bootstrap,finlab_ai_skill_reversion_value_v1,maxReturn20d
l1_eps,,True,registry_feature,formal_candidate,eps,core_prior,ts_bootstrap,finlab_ai_skill_reversion_value_v1,minEps
val_ep,,True,registry_feature,formal_candidate,pe,evidence_watch,ts_bootstrap,finlab_ai_skill_reversion_value_v1,maxPe
val_bp,,True,registry_feature,formal_candidate,pb,core_prior,ts_bootstrap,finlab_ai_skill_reversion_value_v1,maxPb
,,True,runtime_gate,not_applicable,runtime_gate.price,,ts_bootstrap,finlab_ai_skill_revenue_revision_breakout_v1,minPrice
tech_sma_20_pos,,True,registry_feature,formal_candidate,closeAboveMa20Pct,evidence_watch,ts_bootstrap,finlab_ai_skill_revenue_revision_breakout_v1,minCloseAboveMa20Pct
l1_volumeExpansion20,,True,registry_feature,formal_candidate,volumeExpansion20,core_prior,ts_bootstrap,finlab_ai_skill_revenue_revision_breakout_v1,minVolumeExpansion20
l1_revenueGrowthYoY,,True,registry_feature,formal_candidate,revenueGrowthYoY,core_prior,ts_bootstrap,finlab_ai_skill_revenue_revision_breakout_v1,minRevenueGrowthYoY
l1_roe,,True,registry_feature,formal_candidate,roe,evidence_watch,ts_bootstrap,finlab_ai_skill_revenue_revision_breakout_v1,minRoe
mom_rsi_14,,True,registry_feature,formal_candidate,technicalIndicators.rsi14,evidence_watch,ts_bootstrap,finlab_ai_skill_revenue_revision_breakout_v1,minTechnicalIndicators.rsi14
l1_volumeExpansion20,,True,registry_feature,formal_candidate,technicalIndicators.volumeExpansion20,core_prior,ts_bootstrap,finlab_ai_skill_revenue_revision_breakout_v1,minTechnicalIndicators.volumeExpansion20
tech_sma_20_pos,,True,registry_feature,formal_candidate,technicalIndicators.closeAboveMa20Pct,evidence_watch,ts_bootstrap,finlab_ai_skill_revenue_revision_breakout_v1,minTechnicalIndicators.closeAboveMa20Pct
mom_rsi_14,,True,registry_feature,formal_candidate,technicalIndicators.rsi14,evidence_watch,ts_bootstrap,finlab_ai_skill_revenue_revision_breakout_v1,maxTechnicalIndicators.rsi14
l1_monthlyRevenueYoY,,True,registry_feature,formal_candidate,factorSignals.monthlyRevenueYoY,core_prior,ts_bootstrap,finlab_ai_skill_revenue_revision_breakout_v1,minFactorSignals.monthlyRevenueYoY
l1_monthlyRevenueMoM,,True,registry_feature,formal_candidate,factorSignals.monthlyRevenueMoM,core_prior,ts_bootstrap,finlab_ai_skill_revenue_revision_breakout_v1,minFactorSignals.monthlyRevenueMoM
l1_revenueGrowthYoY,,True,registry_feature,formal_candidate,factorSignals.revenueGrowthYoY,core_prior,ts_bootstrap,finlab_ai_skill_revenue_revision_breakout_v1,minFactorSignals.revenueGrowthYoY
,,True,runtime_gate,not_applicable,runtime_gate.price,,ts_bootstrap,finlab_ai_skill_broker_accumulation_reclaim_v1,minPrice
l1_volumeExpansion20,,True,registry_feature,formal_candidate,volumeExpansion20,core_prior,ts_bootstrap,finlab_ai_skill_broker_accumulation_reclaim_v1,minVolumeExpansion20
l1_brokerNetAmount5d,,True,registry_feature,formal_candidate,brokerNetAmount5d,core_prior,ts_bootstrap,finlab_ai_skill_broker_accumulation_reclaim_v1,minBrokerNetAmount5d
l1_brokerConcentration,,True,registry_feature,formal_candidate,brokerConcentration,core_prior,ts_bootstrap,finlab_ai_skill_broker_accumulation_reclaim_v1,maxBrokerConcentration
mom_rsi_14,,True,registry_feature,formal_candidate,technicalIndicators.rsi14,evidence_watch,ts_bootstrap,finlab_ai_skill_broker_accumulation_reclaim_v1,minTechnicalIndicators.rsi14
mom_rsi_14,,True,registry_feature,formal_candidate,technicalIndicators.rsi14,evidence_watch,ts_bootstrap,finlab_ai_skill_broker_accumulation_reclaim_v1,maxTechnicalIndicators.rsi14
l1_brokerNetAmount5d,,True,registry_feature,formal_candidate,factorSignals.brokerNetAmount5d,core_prior,ts_bootstrap,finlab_ai_skill_broker_accumulation_reclaim_v1,minFactorSignals.brokerNetAmount5d
,,True,runtime_gate,not_applicable,runtime_gate.price,,ts_bootstrap,alphabuilders_multifactor_revenue_quality_momentum_v1,minPrice
l1_volumeExpansion20,,True,registry_feature,formal_candidate,volumeExpansion20,core_prior,ts_bootstrap,alphabuilders_multifactor_revenue_quality_momentum_v1,minVolumeExpansion20
l1_monthlyRevenueYoY,,True,registry_feature,formal_candidate,factorSignals.monthlyRevenueYoY,core_prior,ts_bootstrap,alphabuilders_multifactor_revenue_quality_momentum_v1,minFactorSignals.monthlyRevenueYoY
l1_monthlyRevenueMoM,,True,registry_feature,formal_candidate,factorSignals.monthlyRevenueMoM,core_prior,ts_bootstrap,alphabuilders_multifactor_revenue_quality_momentum_v1,dsl.signal
tech_sma_20_pos,,True,registry_feature,formal_candidate,closeAboveMa20Pct,evidence_watch,ts_bootstrap,alphabuilders_multifactor_revenue_quality_momentum_v1,dsl.signal
l1_macdHist,,True,registry_feature,formal_candidate,technicalIndicators.macdHist,core_prior,ts_bootstrap,alphabuilders_multifactor_revenue_quality_momentum_v1,dsl.signal
,,True,runtime_gate,not_applicable,runtime_gate.price,,d1_migration,alpha_miner_pymoo_nsga3_novelty_0081,minPrice
l1_volumeExpansion20,,True,registry_feature,formal_candidate,volumeExpansion20,core_prior,d1_migration,alpha_miner_pymoo_nsga3_novelty_0081,minVolumeExpansion20
KLOW2,KLOW2,True,registry_feature,formal_candidate,factorSignals.KLOW2,evidence_watch,d1_migration,alpha_miner_pymoo_nsga3_novelty_0081,featureRefs.weightedScore.terms[0]
advance_ratio,advance_ratio,True,registry_feature,formal_candidate,factorSignals.advance_ratio,evidence_watch,d1_migration,alpha_miner_pymoo_nsga3_novelty_0081,featureRefs.weightedScore.terms[1]
CNTD_20,CNTD_20,True,registry_feature,formal_candidate,factorSignals.CNTD_20,core_prior,d1_migration,alpha_miner_pymoo_nsga3_novelty_0081,featureRefs.weightedScore.terms[2]
KSFT,KSFT,True,registry_feature,formal_candidate,factorSignals.KSFT,evidence_watch,d1_migration,alpha_miner_pymoo_nsga3_novelty_0081,featureRefs.weightedScore.terms[3]
,,True,runtime_gate,not_applicable,runtime_gate.price,,d1_migration,alpha_miner_pymoo_nsga3_novelty_0193,minPrice
l1_volumeExpansion20,,True,registry_feature,formal_candidate,volumeExpansion20,core_prior,d1_migration,alpha_miner_pymoo_nsga3_novelty_0193,minVolumeExpansion20
us_sentiment_score,us_sentiment_score,True,registry_feature,formal_candidate,factorSignals.us_sentiment_score,evidence_watch,d1_migration,alpha_miner_pymoo_nsga3_novelty_0193,featureRefs.weightedScore.terms[0]
margin_balance,margin_balance,True,registry_feature,formal_candidate,factorSignals.margin_balance,core_prior,d1_migration,alpha_miner_pymoo_nsga3_novelty_0193,featureRefs.weightedScore.terms[1]
,,True,runtime_gate,not_applicable,runtime_gate.price,,d1_migration,alpha_miner_pymoo_nsga3_novelty_0187,minPrice
l1_volumeExpansion20,,True,registry_feature,formal_candidate,volumeExpansion20,core_prior,d1_migration,alpha_miner_pymoo_nsga3_novelty_0187,minVolumeExpansion20
KSFT2,KSFT2,True,registry_feature,formal_candidate,factorSignals.KSFT2,evidence_watch,d1_migration,alpha_miner_pymoo_nsga3_novelty_0187,featureRefs.weightedScore.terms[0]
l1_monthlyRevenueMoM,l1_monthlyRevenueMoM,True,registry_feature,formal_candidate,factorSignals.monthlyRevenueMoM,core_prior,d1_migration,alpha_miner_pymoo_nsga3_novelty_0187,featureRefs.weightedScore.terms[1]
CNTN_20,CNTN_20,True,registry_feature,formal_candidate,factorSignals.CNTN_20,evidence_watch,d1_migration,alpha_miner_pymoo_nsga3_novelty_0187,featureRefs.weightedScore.terms[2]
ma10_bias,ma10_bias,True,registry_feature,formal_candidate,factorSignals.ma10_bias,evidence_watch,d1_migration,alpha_miner_pymoo_nsga3_novelty_0187,featureRefs.weightedScore.terms[3]
return_5d,return_5d,True,registry_feature,formal_candidate,factorSignals.return_5d,evidence_watch,d1_migration,alpha_miner_pymoo_nsga3_novelty_0187,featureRefs.weightedScore.terms[4]
