feature_id,origin_pool,category,action,reasons,quality_score,monthly_sharpe,cagr,max_drawdown,mean_ic_5d,coverage,nearest_feature,nearest_abs_rank_corr,component_075_size,component_leader,component_leader_score
l1_smcBiasBearish,strategy95,l1_signal,drop_research_candidate,"negative_sharpe_and_cagr,duplicate_cluster_weaker_than_leader",0.187085,-0.3582680611264985,-0.026272108172855524,-0.24588176207141688,-0.015909384224597457,,l1_smcNetScore,0.75040896,2,l1_smcNetScore,0.419174
l1_liquiditySweepBullish,strategy95,l1_signal,watch_not_selector,weak_ic_and_weak_backtest,0.224582,-0.1536342879135669,0.0004600562407381936,-0.15875703931722862,-0.0049869237405415386,,l1_smcBullishScore,0.18378365,1,l1_liquiditySweepBullish,0.224582
ma60_bias,ml106,price_technical,watch_not_selector,duplicate_cluster_weaker_than_leader,0.272382,0.017353031777253433,-0.0022773467132697345,-0.36537032929279756,-0.019092523533406746,0.8490103270223752,tech_keltner_pos_20,0.75839431,34,mom_macd_trend_10,0.771056
CNTN_5,ml106,price_technical,watch_not_selector,duplicate_cluster_weaker_than_leader,0.321977,0.04426895555558226,0.015823058159040837,-0.24260708779307194,0.010186658891787534,0.8490103270223752,CNTD_5,0.93383406,3,CNTP_5,0.458057
l1_squeezeRelease,strategy95,l1_signal,watch_not_selector,weak_ic_and_weak_backtest,0.328474,0.1320163249176404,0.029339244609447812,-0.25110551977135387,-0.003538213802032142,1.0,l1_bosBullish,0.12127297,1,l1_squeezeRelease,0.328474
val_dp,strategy95,valuation,watch_not_selector,negative_sharpe_and_cagr,0.335506,-0.24462121814906826,-0.023108074953934632,-0.310270422703245,0.04901782818173527,0.925147100028019,val_ep,0.59953029,1,val_dp,0.335506
tech_tower_3,strategy95,technical,watch_not_selector,negative_sharpe_and_cagr,0.34545,-0.24389357636612888,-0.008951814697217952,-0.18950121981437784,-0.02050347039087278,1.0,l1_smcBullishScore,0.7189618,1,tech_tower_3,0.34545
KLOW2,ml106,price_technical,watch_not_selector,duplicate_cluster_weaker_than_leader,0.368586,-0.0798954591632305,0.00626552252793422,-0.13611544288977873,-0.013223087038205053,0.8490103270223752,KLOW,0.85668066,2,KLOW,0.500447
KUP,ml106,price_technical,watch_not_selector,duplicate_cluster_weaker_than_leader,0.379275,0.5042933300383275,0.13225381566812677,-0.36236029501035705,-0.008571620645999665,0.8490103270223752,KUP2,0.87323763,2,KUP2,0.465065
tech_mfi_14,strategy95,technical,watch_not_selector,duplicate_cluster_weaker_than_leader,0.389244,0.2924981361312414,0.06507907399689938,-0.31583371547724903,0.021913024991509725,0.8509546491614298,mom_rsi_14,0.79645662,34,mom_macd_trend_10,0.771056
tech_cci_20,strategy95,technical,watch_not_selector,duplicate_cluster_weaker_than_leader,0.391431,0.3836270479507817,0.08164126697477925,-0.3320337482414141,-0.019377130117994135,0.8289877116439178,tech_bbands_pctb_20,0.97674055,34,mom_macd_trend_10,0.771056
val_ep,strategy95,valuation,watch_not_selector,negative_sharpe_and_cagr,0.392806,-0.08193908357286125,-0.010406964036830835,-0.2659061976666982,0.042830602459496964,0.9080224552695834,val_dp,0.59953029,1,val_ep,0.392806
tech_sar,strategy95,technical,watch_not_selector,duplicate_cluster_weaker_than_leader,0.401955,0.49671730486589166,0.12815455780786067,-0.40807543672903424,-0.02242895186482997,0.8490103270223752,tech_ema_12_pos,0.7642686,34,mom_macd_trend_10,0.771056
KSFT,ml106,price_technical,watch_not_selector,duplicate_cluster_weaker_than_leader,0.410922,0.6016463949597696,0.15898708748333057,-0.46773006589387756,-0.022674724010259592,0.8490103270223752,vwap_bias,0.9996041,3,KMID,0.542447
vola_realized_1m,strategy95,volatility,watch_not_selector,duplicate_cluster_weaker_than_leader,0.426437,0.31836370526083163,0.07481867089007044,-0.39786993149487104,0.0394532361551591,0.9452958011447784,l1_bbBandwidthPct,0.82980262,9,size_log_mktcap,0.92815
vwap_bias,ml106,price_technical,watch_not_selector,duplicate_cluster_weaker_than_leader,0.432294,0.6548278124557457,0.18588449688107245,-0.4514600864499013,-0.022682625240283836,0.8490103270223752,KSFT,0.9996041,3,KMID,0.542447
tech_kdj_j_9,strategy95,technical,watch_not_selector,duplicate_cluster_weaker_than_leader,0.435748,0.4654677122550752,0.09557018423482178,-0.3294456446489902,-0.022252550501434633,0.9459292318776769,tech_kd9_k,0.88732543,34,mom_macd_trend_10,0.771056
CNTN_20,ml106,price_technical,watch_not_selector,duplicate_cluster_weaker_than_leader,0.443408,0.288667457179951,0.053086798479323294,-0.12794114533610312,-0.00940610616651,0.8490103270223752,CNTD_20,0.90523873,4,CNTP_20,0.593563
return_3d,ml106,price_technical,watch_not_selector,duplicate_cluster_weaker_than_leader,0.443625,0.3430426247067957,0.07626940108997404,-0.2999571493520742,-0.030380253564112898,0.8490103270223752,vol_money_flow_5d,0.78818103,34,mom_macd_trend_10,0.771056
RESI_60,ml106,price_technical,watch_not_selector,duplicate_cluster_weaker_than_leader,0.463772,0.6161394741084503,0.1933559867768435,-0.44101993371492076,-0.030571293526659913,0.8490103270223752,tech_bias_20,0.78281445,34,mom_macd_trend_10,0.771056
tech_wma_10_pos,strategy95,technical,watch_not_selector,duplicate_cluster_weaker_than_leader,0.469138,0.4601214333632537,0.1193516920869575,-0.3858439633969256,-0.041090535300176596,0.8376425969659368,tech_ema_12_pos,0.90353271,34,mom_macd_trend_10,0.771056
tech_psy_12,strategy95,technical,watch_not_selector,duplicate_cluster_weaker_than_leader,0.478108,0.6253978651336378,0.14714326068579986,-0.2663557794285386,0.008930668763483758,1.0,CNTP_20,0.77294445,4,CNTP_20,0.593563
BETA_60,ml106,price_technical,watch_not_selector,duplicate_cluster_weaker_than_leader,0.501224,0.8968900829719888,0.3087620950703849,-0.36712903584776246,0.0024759305610545326,0.8490103270223752,l1_closeAboveMa60Pct,0.78383444,34,mom_macd_trend_10,0.771056
tech_donchian_pos_20,strategy95,technical,watch_not_selector,duplicate_cluster_weaker_than_leader,0.501319,0.7201120131520315,0.16447903686554644,-0.2987998649049671,-0.018193219221246136,0.8289877116439178,tech_williams_r_14,0.92179543,34,mom_macd_trend_10,0.771056
tech_ema_12_pos,strategy95,technical,watch_not_selector,duplicate_cluster_weaker_than_leader,0.506474,0.6141508501251196,0.16782812941038738,-0.4025913183680675,-0.03928779210510085,0.8490103270223752,tech_bbi,0.99632791,34,mom_macd_trend_10,0.771056
tech_bbi,strategy95,technical,watch_not_selector,duplicate_cluster_weaker_than_leader,0.524584,0.7150483335457578,0.20478812545363967,-0.4271951670893068,-0.039384848132628644,0.8260947444262098,tech_ema_12_pos,0.99632791,34,mom_macd_trend_10,0.771056
RESI_20,ml106,price_technical,watch_not_selector,duplicate_cluster_weaker_than_leader,0.527344,0.7535916703983633,0.25301447215390827,-0.41053889877605876,-0.02936403825748984,0.8490103270223752,tech_wma_10_pos,0.76917091,34,mom_macd_trend_10,0.771056
l1_diTrend,strategy95,l1_signal,watch_not_selector,duplicate_cluster_weaker_than_leader,0.529452,0.6174369249706447,0.15262365115076904,-0.28865735159885164,-0.027199473141347547,0.9445332826321899,tech_keltner_pos_20,0.8474573,34,mom_macd_trend_10,0.771056
tech_bbands_pctb_20,strategy95,technical,watch_not_selector,duplicate_cluster_weaker_than_leader,0.532346,0.7211268094531443,0.1483565003945191,-0.2774755313148214,-0.025125465225420657,0.8289877116439178,tech_cci_20,0.97674055,34,mom_macd_trend_10,0.771056
vol_money_flow_5d,strategy95,volume,watch_not_selector,duplicate_cluster_weaker_than_leader,0.539821,0.8227079951340446,0.24059171286290826,-0.3923730724729291,0.02842568873514042,0.8431543449545691,tech_wma_10_pos,0.85042464,34,mom_macd_trend_10,0.771056
mom_ma50_200_ratio,strategy95,momentum,watch_not_selector,duplicate_cluster_weaker_than_leader,0.551163,1.152921352619967,0.33822672840206036,-0.40857744267535434,0.009398449083652049,0.7528079093783773,mom_reversal_6m,0.87284352,7,mom_hl52,0.716675
tech_williams_r_14,strategy95,technical,watch_not_selector,duplicate_cluster_weaker_than_leader,0.556689,0.7951330771405977,0.16983394282918218,-0.23844046513175532,0.01955197803203668,0.8338760357042789,tech_donchian_pos_20,0.92179543,34,mom_macd_trend_10,0.771056
l1_bbBandwidthPct,strategy95,l1_signal,watch_not_selector,duplicate_cluster_weaker_than_leader,0.556929,0.8111671035415022,0.2581690348360681,-0.37395649218906424,-0.028956061523209484,0.8289877116439178,tech_ma_convergence,0.86924211,9,size_log_mktcap,0.92815
vola_realized_12m,strategy95,volatility,watch_not_selector,duplicate_cluster_weaker_than_leader,0.557061,0.5040569206537991,0.11568838496100198,-0.2570640094069787,0.042281460175741956,0.9223251811231638,vola_realized_1m,0.79516555,9,size_log_mktcap,0.92815
tech_kd9_k,strategy95,technical,watch_not_selector,duplicate_cluster_weaker_than_leader,0.558379,0.8913395764266677,0.24764986099318276,-0.29677640641030145,-0.012073761323824895,0.9459292318776769,tech_slow_kd_14,0.91050425,34,mom_macd_trend_10,0.771056
VSTD_20,ml106,price_technical,watch_not_selector,duplicate_cluster_weaker_than_leader,0.562399,0.9863925106786208,0.37778283174368776,-0.3857193705359393,-0.009164277254993572,0.8490103270223752,VSTD_10,0.95268762,9,size_log_mktcap,0.92815
tech_bias_20,strategy95,technical,watch_not_selector,duplicate_cluster_weaker_than_leader,0.562654,0.7552470944805161,0.22407244983492536,-0.34984646541159825,0.03349804841805848,0.8289877116439178,tech_sma_20_pos,0.99999999,34,mom_macd_trend_10,0.771056
tech_sma_20_pos,strategy95,technical,watch_not_selector,duplicate_cluster_weaker_than_leader,0.562654,0.7552470944805161,0.22407244983492536,-0.34984646541159825,-0.0334980484653778,0.8289877116439178,tech_bias_20,0.99999999,34,mom_macd_trend_10,0.771056
tech_keltner_pos_20,strategy95,technical,watch_not_selector,duplicate_cluster_weaker_than_leader,0.571981,0.7894125839684943,0.20920568958063046,-0.30068196132273295,-0.028257118209128525,0.8468638674298523,tech_bbands_pctb_20,0.92855526,34,mom_macd_trend_10,0.771056
l1_closeAboveMa60Pct,strategy95,l1_signal,watch_not_selector,duplicate_cluster_weaker_than_leader,0.57949,1.067961044854322,0.3440435366918029,-0.401804020127302,-0.017697676680799728,0.8053676500020014,tech_trix_12,0.87317589,34,mom_macd_trend_10,0.771056
tech_cmo_14,strategy95,technical,watch_not_selector,duplicate_cluster_weaker_than_leader,0.584575,0.8975416619857337,0.25128846984140374,-0.26615605575060464,-0.016679944600498108,0.8330084457431053,mom_rsi_14,0.99999987,34,mom_macd_trend_10,0.771056
mom_rsi_14,strategy95,momentum,watch_not_selector,duplicate_cluster_weaker_than_leader,0.584576,0.8975416619857337,0.25128846984140374,-0.26615605575060464,-0.016680265262073793,0.8330084457431053,tech_cmo_14,0.99999987,34,mom_macd_trend_10,0.771056
tech_roc_10,strategy95,technical,watch_not_selector,duplicate_cluster_weaker_than_leader,0.584904,0.9392148828886947,0.3084463429562492,-0.38635927937256054,-0.02591106281862681,0.8457591161990153,tech_mtm_10,0.913223,34,mom_macd_trend_10,0.771056
mom_12m_1m,strategy95,momentum,watch_not_selector,duplicate_cluster_weaker_than_leader,0.598464,0.9160370129142429,0.29879493958237147,-0.25733987660329893,0.012758555552196243,0.8209282311972141,mom_vol_adj_12m,0.91759594,7,mom_hl52,0.716675
mom_9m,strategy95,momentum,watch_not_selector,duplicate_cluster_weaker_than_leader,0.600355,1.1693406421677548,0.4147093054117248,-0.34427272296801537,-0.0007287269651931009,0.8265960853380299,mom_ma50_200_ratio,0.85977749,7,mom_hl52,0.716675
mom_vol_adj_12m,strategy95,momentum,watch_not_selector,duplicate_cluster_weaker_than_leader,0.600446,1.1214955568904736,0.3785676808036287,-0.3517698750706202,0.008617848802879415,0.8208061481807629,mom_12m_1m,0.91759594,7,mom_hl52,0.716675
tech_ma_convergence,strategy95,technical,watch_not_selector,duplicate_cluster_weaker_than_leader,0.608188,0.9387769012180501,0.3011333711795743,-0.2854939826861511,0.01772603473902206,0.8431543449545691,l1_bbBandwidthPct,0.86924211,9,size_log_mktcap,0.92815
l1_return20d,strategy95,l1_signal,watch_not_selector,duplicate_cluster_weaker_than_leader,0.613668,0.9887146507623726,0.3375485600178736,-0.35376549742919805,-0.022857431844817755,0.8445212744666373,mom_reversal_1m,0.96140612,34,mom_macd_trend_10,0.771056
tech_slow_kd_14,strategy95,technical,watch_not_selector,duplicate_cluster_weaker_than_leader,0.620614,0.9438016326041682,0.26862202670030144,-0.19637071913224202,-0.008466635073151298,0.9445332826321899,tech_kd9_k,0.91050425,34,mom_macd_trend_10,0.771056
mom_reversal_6m,strategy95,momentum,watch_not_selector,duplicate_cluster_weaker_than_leader,0.634873,1.2480471019436454,0.40353876361628194,-0.32679083735846615,0.004860795599460537,0.8327812912780691,mom_ma50_200_ratio,0.87284352,7,mom_hl52,0.716675
VSTD_10,ml106,price_technical,watch_not_selector,duplicate_cluster_weaker_than_leader,0.676748,1.1223061933613447,0.45209574121977303,-0.2988423208512888,-0.011198127329158208,0.8490103270223752,VSTD_20,0.95268762,9,size_log_mktcap,0.92815
mom_reversal_1m,strategy95,momentum,watch_not_selector,duplicate_cluster_weaker_than_leader,0.683498,1.0945167853227635,0.32617486216654656,-0.2520266081982223,0.02252116697656678,0.8443911860064844,l1_return20d,0.96140612,34,mom_macd_trend_10,0.771056
l1_roe,strategy95,l1_signal,watch_not_selector,duplicate_cluster_weaker_than_leader,0.730533,1.1161568721072126,0.2579724372223331,-0.2526233467640566,0.0426630777786274,0.9356022095024616,l1_eps,0.92258585,2,l1_eps,0.922658
vol_share_turnover_21d,strategy95,volume,watch_not_selector,duplicate_cluster_weaker_than_leader,0.749257,1.3185243687799915,0.45930590670112625,-0.30900958905155307,0.022877627495641394,0.8250710483128527,VSTD_20,0.76240144,9,size_log_mktcap,0.92815
liq_amihud_21d,strategy95,volatility,watch_not_selector,duplicate_cluster_weaker_than_leader,0.783625,1.389453776642602,0.42296855225624563,-0.20473979659687314,-0.017234238980589386,0.8281331305287596,size_log_mktcap,0.85327785,9,size_log_mktcap,0.92815
