pair,left_id,right_id,return_corr,all_period_jaccard,latest_jaccard,position_phi_corr,left_alpha_bucket,right_alpha_bucket,left_family_id,right_family_id,similarity_class
BreakoutSeed vs TrendSeed,breakout_vol_expansion_seed_v1,trend_following_seed_v1,0.9873022440831696,0.568159,0.503106,0.7205263985630731,breakout_vol_expansion,trend_following,VOLATILITY_CONTRACTION_BREAKOUT,TREND_RECLAIM_CONTINUATION,severe_corr_and_jaccard
DefensiveSeed vs TrendSeed,defensive_accumulation_seed_v1,trend_following_seed_v1,0.9539629038609412,0.369182,0.405367,0.4274890566581668,defensive_accumulation,trend_following,SMART_MONEY_ACCUMULATION,TREND_RECLAIM_CONTINUATION,severe_corr_and_jaccard
AlphaBuilders vs DefensiveSeed,alphabuilders_multifactor_revenue_quality_momentum_v1,defensive_accumulation_seed_v1,0.9706859961777636,0.338691,0.435556,0.3363932249459118,trend_following,defensive_accumulation,REVENUE_QUALITY_MOMENTUM,SMART_MONEY_ACCUMULATION,severe_corr_and_jaccard
AlphaBuilders vs TrendSeed,alphabuilders_multifactor_revenue_quality_momentum_v1,trend_following_seed_v1,0.9450666952017102,0.306818,0.430351,0.3353697687485659,trend_following,trend_following,REVENUE_QUALITY_MOMENTUM,TREND_RECLAIM_CONTINUATION,severe_corr_and_jaccard
DefensiveSeed vs BrokerReclaim,defensive_accumulation_seed_v1,finlab_ai_skill_broker_accumulation_reclaim_v1,0.979400695968478,0.263158,0.238501,0.3657379160112629,defensive_accumulation,defensive_accumulation,SMART_MONEY_ACCUMULATION,SMART_MONEY_ACCUMULATION,severe_corr_and_jaccard
BrokerReclaim vs TrendSeed,finlab_ai_skill_broker_accumulation_reclaim_v1,trend_following_seed_v1,0.9413376914062146,0.2313,0.253142,0.2994440757544027,defensive_accumulation,trend_following,SMART_MONEY_ACCUMULATION,TREND_RECLAIM_CONTINUATION,watch_corr_and_jaccard
BreakoutSeed vs DefensiveSeed,breakout_vol_expansion_seed_v1,defensive_accumulation_seed_v1,0.9296253625843828,0.230136,0.241776,0.3068604772310521,breakout_vol_expansion,defensive_accumulation,VOLATILITY_CONTRACTION_BREAKOUT,SMART_MONEY_ACCUMULATION,watch_corr_and_jaccard
AM0193 vs AlphaBuilders,alpha_miner_pymoo_nsga3_novelty_0193,alphabuilders_multifactor_revenue_quality_momentum_v1,0.9794183011757898,0.222359,0.267051,0.1505471580436314,defensive_accumulation,trend_following,SMART_MONEY_ACCUMULATION,REVENUE_QUALITY_MOMENTUM,watch_corr_and_jaccard
AM0193 vs DefensiveSeed,alpha_miner_pymoo_nsga3_novelty_0193,defensive_accumulation_seed_v1,0.9658092524863358,0.208289,0.188914,0.138866254051775,defensive_accumulation,defensive_accumulation,SMART_MONEY_ACCUMULATION,SMART_MONEY_ACCUMULATION,watch_corr_and_jaccard
AM0193 vs TrendSeed,alpha_miner_pymoo_nsga3_novelty_0193,trend_following_seed_v1,0.9392945016638712,0.203686,0.21522,0.1722540184467625,defensive_accumulation,trend_following,SMART_MONEY_ACCUMULATION,TREND_RECLAIM_CONTINUATION,watch_corr_and_jaccard
AlphaBuilders vs BreakoutSeed,alphabuilders_multifactor_revenue_quality_momentum_v1,breakout_vol_expansion_seed_v1,0.9240230935249452,0.195986,0.247561,0.2493819284967564,trend_following,breakout_vol_expansion,REVENUE_QUALITY_MOMENTUM,VOLATILITY_CONTRACTION_BREAKOUT,corr_only_low_jaccard
AlphaBuilders vs BrokerReclaim,alphabuilders_multifactor_revenue_quality_momentum_v1,finlab_ai_skill_broker_accumulation_reclaim_v1,0.9667590727631912,0.173601,0.198795,0.2074054908645013,trend_following,defensive_accumulation,REVENUE_QUALITY_MOMENTUM,SMART_MONEY_ACCUMULATION,corr_only_low_jaccard
AM0193 vs BreakoutSeed,alpha_miner_pymoo_nsga3_novelty_0193,breakout_vol_expansion_seed_v1,0.9158742166905304,0.144257,0.141606,0.1446686743537174,defensive_accumulation,breakout_vol_expansion,SMART_MONEY_ACCUMULATION,VOLATILITY_CONTRACTION_BREAKOUT,corr_only_low_jaccard
BreakoutSeed vs BrokerReclaim,breakout_vol_expansion_seed_v1,finlab_ai_skill_broker_accumulation_reclaim_v1,0.9148604566506192,0.132697,0.162437,0.1481675831896508,breakout_vol_expansion,defensive_accumulation,VOLATILITY_CONTRACTION_BREAKOUT,SMART_MONEY_ACCUMULATION,corr_only_low_jaccard
AM0193 vs BrokerReclaim,alpha_miner_pymoo_nsga3_novelty_0193,finlab_ai_skill_broker_accumulation_reclaim_v1,0.9608144842679652,0.115567,0.081779,0.087381056925923,defensive_accumulation,defensive_accumulation,SMART_MONEY_ACCUMULATION,SMART_MONEY_ACCUMULATION,corr_only_low_jaccard
S1 vs S2,stock_tech_s01_55d_trend_volume_breakout_v1,stock_tech_s02_52w_dual_momentum_v1,0.6066836591280417,0.034257,0.0,0.0629521220310736,breakout_vol_expansion,trend_following,TREND_RECLAIM_CONTINUATION,TREND_RECLAIM_CONTINUATION,ok_low_overlap
S1 vs S11,stock_tech_s01_55d_trend_volume_breakout_v1,stock_tech_s11_gap_breakout_continuation_v1,0.5365976041000523,0.029668,0.076923,0.0562567366363529,breakout_vol_expansion,breakout_vol_expansion,TREND_RECLAIM_CONTINUATION,VOLATILITY_CONTRACTION_BREAKOUT,ok_low_overlap
S2 vs S11,stock_tech_s02_52w_dual_momentum_v1,stock_tech_s11_gap_breakout_continuation_v1,0.5838666667832121,0.029221,0.0,0.0555933653768789,trend_following,breakout_vol_expansion,TREND_RECLAIM_CONTINUATION,VOLATILITY_CONTRACTION_BREAKOUT,ok_low_overlap
S1 vs S6,stock_tech_s01_55d_trend_volume_breakout_v1,stock_tech_s06_nr7_inside_bar_breakout_v1,0.4468434874964808,0.019436,0.0,0.0413722063865972,breakout_vol_expansion,breakout_vol_expansion,TREND_RECLAIM_CONTINUATION,VOLATILITY_CONTRACTION_BREAKOUT,ok_low_overlap
S4 vs S11,stock_tech_s04_ma_deduct_turn_breakout_v1,stock_tech_s11_gap_breakout_continuation_v1,0.4225339176367381,0.015168,0.0,0.0275854004177159,trend_following,breakout_vol_expansion,TREND_RECLAIM_CONTINUATION,VOLATILITY_CONTRACTION_BREAKOUT,ok_low_overlap
S6 vs S11,stock_tech_s06_nr7_inside_bar_breakout_v1,stock_tech_s11_gap_breakout_continuation_v1,0.3438174912726025,0.015001,0.0,0.0293420813188517,breakout_vol_expansion,breakout_vol_expansion,VOLATILITY_CONTRACTION_BREAKOUT,VOLATILITY_CONTRACTION_BREAKOUT,ok_low_overlap
BreakoutSeed vs S11,breakout_vol_expansion_seed_v1,stock_tech_s11_gap_breakout_continuation_v1,0.5412702623906597,0.013976,0.012295,0.083523674233389,breakout_vol_expansion,breakout_vol_expansion,VOLATILITY_CONTRACTION_BREAKOUT,VOLATILITY_CONTRACTION_BREAKOUT,ok_low_overlap
S4 vs S6,stock_tech_s04_ma_deduct_turn_breakout_v1,stock_tech_s06_nr7_inside_bar_breakout_v1,0.303831985206215,0.012109,0.0,0.0240080865303409,trend_following,breakout_vol_expansion,TREND_RECLAIM_CONTINUATION,VOLATILITY_CONTRACTION_BREAKOUT,ok_low_overlap
BreakoutSeed vs S4,breakout_vol_expansion_seed_v1,stock_tech_s04_ma_deduct_turn_breakout_v1,0.55681942434779,0.010764,0.008097,0.0535976707492674,breakout_vol_expansion,trend_following,VOLATILITY_CONTRACTION_BREAKOUT,TREND_RECLAIM_CONTINUATION,ok_low_overlap
S2 vs S6,stock_tech_s02_52w_dual_momentum_v1,stock_tech_s06_nr7_inside_bar_breakout_v1,0.38358390405263,0.010488,0.0,0.0217726159034653,trend_following,breakout_vol_expansion,TREND_RECLAIM_CONTINUATION,VOLATILITY_CONTRACTION_BREAKOUT,ok_low_overlap
S11 vs TrendSeed,stock_tech_s11_gap_breakout_continuation_v1,trend_following_seed_v1,0.5414358960991256,0.010192,0.006198,0.0778926046993607,breakout_vol_expansion,trend_following,VOLATILITY_CONTRACTION_BREAKOUT,TREND_RECLAIM_CONTINUATION,ok_low_overlap
S2 vs S4,stock_tech_s02_52w_dual_momentum_v1,stock_tech_s04_ma_deduct_turn_breakout_v1,0.5144336659516089,0.010067,0.0,0.0170912525083158,trend_following,trend_following,TREND_RECLAIM_CONTINUATION,TREND_RECLAIM_CONTINUATION,ok_low_overlap
BreakoutSeed vs S1,breakout_vol_expansion_seed_v1,stock_tech_s01_55d_trend_volume_breakout_v1,0.5759212529761127,0.009828,0.007968,0.0378753345269096,breakout_vol_expansion,breakout_vol_expansion,VOLATILITY_CONTRACTION_BREAKOUT,TREND_RECLAIM_CONTINUATION,ok_low_overlap
S1 vs TrendSeed,stock_tech_s01_55d_trend_volume_breakout_v1,trend_following_seed_v1,0.5907333914901691,0.009047,0.00818,0.0451954719404653,breakout_vol_expansion,trend_following,TREND_RECLAIM_CONTINUATION,TREND_RECLAIM_CONTINUATION,ok_low_overlap
S4 vs TrendSeed,stock_tech_s04_ma_deduct_turn_breakout_v1,trend_following_seed_v1,0.5613881272284238,0.008955,0.008247,0.0570168964155438,trend_following,trend_following,TREND_RECLAIM_CONTINUATION,TREND_RECLAIM_CONTINUATION,ok_low_overlap
AM0193 vs S2,alpha_miner_pymoo_nsga3_novelty_0193,stock_tech_s02_52w_dual_momentum_v1,0.6088993221403391,0.008833,0.012915,0.0489337727909256,defensive_accumulation,trend_following,SMART_MONEY_ACCUMULATION,TREND_RECLAIM_CONTINUATION,ok_low_overlap
S2 vs TrendSeed,stock_tech_s02_52w_dual_momentum_v1,trend_following_seed_v1,0.6176085058381277,0.007902,0.004073,0.0342804967042601,trend_following,trend_following,TREND_RECLAIM_CONTINUATION,TREND_RECLAIM_CONTINUATION,ok_low_overlap
AlphaBuilders vs S2,alphabuilders_multifactor_revenue_quality_momentum_v1,stock_tech_s02_52w_dual_momentum_v1,0.5787125481045519,0.007409,0.006369,0.0392200984299009,trend_following,trend_following,REVENUE_QUALITY_MOMENTUM,TREND_RECLAIM_CONTINUATION,ok_low_overlap
BreakoutSeed vs S2,breakout_vol_expansion_seed_v1,stock_tech_s02_52w_dual_momentum_v1,0.5998750002149571,0.007289,0.007968,0.0218717397461319,breakout_vol_expansion,trend_following,VOLATILITY_CONTRACTION_BREAKOUT,TREND_RECLAIM_CONTINUATION,ok_low_overlap
AM0193 vs S1,alpha_miner_pymoo_nsga3_novelty_0193,stock_tech_s01_55d_trend_volume_breakout_v1,0.5581276078792619,0.006424,0.012915,0.0285036775889552,defensive_accumulation,breakout_vol_expansion,SMART_MONEY_ACCUMULATION,TREND_RECLAIM_CONTINUATION,ok_low_overlap
AlphaBuilders vs S1,alphabuilders_multifactor_revenue_quality_momentum_v1,stock_tech_s01_55d_trend_volume_breakout_v1,0.5351129419842772,0.00621,0.00894,0.0290128379366169,trend_following,breakout_vol_expansion,REVENUE_QUALITY_MOMENTUM,TREND_RECLAIM_CONTINUATION,ok_low_overlap
S1 vs S4,stock_tech_s01_55d_trend_volume_breakout_v1,stock_tech_s04_ma_deduct_turn_breakout_v1,0.4863114758432628,0.006157,0.0,0.0093163685357155,breakout_vol_expansion,trend_following,TREND_RECLAIM_CONTINUATION,TREND_RECLAIM_CONTINUATION,ok_low_overlap
DefensiveSeed vs S1,defensive_accumulation_seed_v1,stock_tech_s01_55d_trend_volume_breakout_v1,0.5464628307331664,0.005646,0.0,0.0216215396311394,defensive_accumulation,breakout_vol_expansion,SMART_MONEY_ACCUMULATION,TREND_RECLAIM_CONTINUATION,ok_low_overlap
AM0193 vs S4,alpha_miner_pymoo_nsga3_novelty_0193,stock_tech_s04_ma_deduct_turn_breakout_v1,0.5416370777305286,0.0056,0.005535,0.0315294094812435,defensive_accumulation,trend_following,SMART_MONEY_ACCUMULATION,TREND_RECLAIM_CONTINUATION,ok_low_overlap
AM0193 vs S11,alpha_miner_pymoo_nsga3_novelty_0193,stock_tech_s11_gap_breakout_continuation_v1,0.502100644617519,0.005526,0.001845,0.0381215199814855,defensive_accumulation,breakout_vol_expansion,SMART_MONEY_ACCUMULATION,VOLATILITY_CONTRACTION_BREAKOUT,ok_low_overlap
AlphaBuilders vs S11,alphabuilders_multifactor_revenue_quality_momentum_v1,stock_tech_s11_gap_breakout_continuation_v1,0.4735258373090251,0.005438,0.003841,0.0407377583309861,trend_following,breakout_vol_expansion,REVENUE_QUALITY_MOMENTUM,VOLATILITY_CONTRACTION_BREAKOUT,ok_low_overlap
DefensiveSeed vs S11,defensive_accumulation_seed_v1,stock_tech_s11_gap_breakout_continuation_v1,0.4753351573071305,0.005279,0.003891,0.0360751797959659,defensive_accumulation,breakout_vol_expansion,SMART_MONEY_ACCUMULATION,VOLATILITY_CONTRACTION_BREAKOUT,ok_low_overlap
DefensiveSeed vs S4,defensive_accumulation_seed_v1,stock_tech_s04_ma_deduct_turn_breakout_v1,0.5315268225760645,0.005237,0.005825,0.0282784599798474,defensive_accumulation,trend_following,SMART_MONEY_ACCUMULATION,TREND_RECLAIM_CONTINUATION,ok_low_overlap
AlphaBuilders vs S4,alphabuilders_multifactor_revenue_quality_momentum_v1,stock_tech_s04_ma_deduct_turn_breakout_v1,0.5087883816563157,0.005038,0.005115,0.0279786010793953,trend_following,trend_following,REVENUE_QUALITY_MOMENTUM,TREND_RECLAIM_CONTINUATION,ok_low_overlap
DefensiveSeed vs S2,defensive_accumulation_seed_v1,stock_tech_s02_52w_dual_momentum_v1,0.576911454604414,0.00477,0.007722,0.0115284367500582,defensive_accumulation,trend_following,SMART_MONEY_ACCUMULATION,TREND_RECLAIM_CONTINUATION,ok_low_overlap
BrokerReclaim vs S4,finlab_ai_skill_broker_accumulation_reclaim_v1,stock_tech_s04_ma_deduct_turn_breakout_v1,0.5170809232009684,0.004589,0.009132,0.0129334481089085,defensive_accumulation,trend_following,SMART_MONEY_ACCUMULATION,TREND_RECLAIM_CONTINUATION,ok_low_overlap
BreakoutSeed vs S6,breakout_vol_expansion_seed_v1,stock_tech_s06_nr7_inside_bar_breakout_v1,0.4092651257452477,0.004385,0.004115,0.0306188708960271,breakout_vol_expansion,breakout_vol_expansion,VOLATILITY_CONTRACTION_BREAKOUT,VOLATILITY_CONTRACTION_BREAKOUT,ok_low_overlap
S6 vs TrendSeed,stock_tech_s06_nr7_inside_bar_breakout_v1,trend_following_seed_v1,0.4188003255992182,0.004269,0.00207,0.0406399761466659,breakout_vol_expansion,trend_following,VOLATILITY_CONTRACTION_BREAKOUT,TREND_RECLAIM_CONTINUATION,ok_low_overlap
BrokerReclaim vs S2,finlab_ai_skill_broker_accumulation_reclaim_v1,stock_tech_s02_52w_dual_momentum_v1,0.5663989246676094,0.003625,0.0,0.0007860428084707,defensive_accumulation,trend_following,SMART_MONEY_ACCUMULATION,TREND_RECLAIM_CONTINUATION,ok_low_overlap
BrokerReclaim vs S1,finlab_ai_skill_broker_accumulation_reclaim_v1,stock_tech_s01_55d_trend_volume_breakout_v1,0.5277306510947537,0.00344,0.0,0.0005035390190106,defensive_accumulation,breakout_vol_expansion,SMART_MONEY_ACCUMULATION,TREND_RECLAIM_CONTINUATION,ok_low_overlap
AlphaBuilders vs S6,alphabuilders_multifactor_revenue_quality_momentum_v1,stock_tech_s06_nr7_inside_bar_breakout_v1,0.3839535309695824,0.002745,0.001282,0.0264517357472453,trend_following,breakout_vol_expansion,REVENUE_QUALITY_MOMENTUM,VOLATILITY_CONTRACTION_BREAKOUT,ok_low_overlap
AM0193 vs S6,alpha_miner_pymoo_nsga3_novelty_0193,stock_tech_s06_nr7_inside_bar_breakout_v1,0.3848078615840455,0.002598,0.0,0.0217433725738701,defensive_accumulation,breakout_vol_expansion,SMART_MONEY_ACCUMULATION,VOLATILITY_CONTRACTION_BREAKOUT,ok_low_overlap
DefensiveSeed vs S6,defensive_accumulation_seed_v1,stock_tech_s06_nr7_inside_bar_breakout_v1,0.3966636215769824,0.002515,0.0,0.0209120846215814,defensive_accumulation,breakout_vol_expansion,SMART_MONEY_ACCUMULATION,VOLATILITY_CONTRACTION_BREAKOUT,ok_low_overlap
BrokerReclaim vs S11,finlab_ai_skill_broker_accumulation_reclaim_v1,stock_tech_s11_gap_breakout_continuation_v1,0.451150398386223,0.00212,0.0,-0.0007686993324935,defensive_accumulation,breakout_vol_expansion,SMART_MONEY_ACCUMULATION,VOLATILITY_CONTRACTION_BREAKOUT,ok_low_overlap
BrokerReclaim vs S6,finlab_ai_skill_broker_accumulation_reclaim_v1,stock_tech_s06_nr7_inside_bar_breakout_v1,0.3791909215857091,0.001841,0.004651,0.0060069406645153,defensive_accumulation,breakout_vol_expansion,SMART_MONEY_ACCUMULATION,VOLATILITY_CONTRACTION_BREAKOUT,ok_low_overlap
